CleanBusinessName,BakeryLabel,DisplayName,LocationCount,SourceCategories
mr wu,0,Mr Wu,2,amenity=fast_food | amenity=restaurant
mrs chews,0,Mrs Chews,2,amenity=fast_food | amenity=restaurant
mrs potts,0,Mrs Potts,2,amenity=cafe
muddy boots cafe,0,Muddy Boots Cafe,2,amenity=cafe
mugen,0,Mugen,2,amenity=restaurant
mughal,0,Mughal,2,amenity=restaurant
mughal dynasty,0,Mughal Dynasty,2,amenity=fast_food | amenity=restaurant
mughal spice,0,Mughal Spice,2,amenity=fast_food | amenity=restaurant
mulberry and thyme restaurant,0,Mulberry & Thyme Restaurant,2,amenity=cafe
mulberry cafe,0,Mulberry Cafe,2,amenity=cafe
mulberry tree café,0,Mulberry Tree Café,2,amenity=cafe
mulberrys,0,Mulberrys,2,shop=convenience | shop=supermarket
mullaco,0,Mullaco,2,shop=convenience | shop=supermarket
mum likes thai food,0,Mum Likes Thai Food,2,amenity=restaurant
mum s whole food,0,Mum's Whole Food,2,shop=convenience
mumbai central,0,Mumbai Central,2,amenity=restaurant
mumbai local,0,Mumbai Local,2,amenity=restaurant
mumbai masala,0,Mumbai Masala,2,amenity=fast_food | amenity=restaurant
mumbai square,0,Mumbai Square,2,amenity=restaurant
munch inn,0,Munch Inn,2,amenity=fast_food | amenity=restaurant
munch time,0,Munch Time,2,amenity=fast_food
muncheez,0,Muncheez,2,amenity=fast_food | amenity=restaurant
munchies sandwich bar,0,Munchies Sandwich Bar,2,amenity=fast_food
munchy s cafe,0,Munchy's Cafe,2,amenity=cafe
munich cricket club,0,Munich Cricket Club,2,amenity=restaurant
murano,0,Murano,2,amenity=fast_food | amenity=restaurant
murat food centre,0,Murat Food Centre,2,shop=convenience | shop=supermarket
murray s,0,Murray's,2,amenity=fast_food | amenity=restaurant
musa,0,Musa,2,amenity=fast_food | shop=convenience
musaids soft drinks,0,Musaids Soft Drinks,2,shop=convenience
museum café,0,Museum Café,2,amenity=cafe
mushtaq,0,Mushtaq,2,amenity=fast_food
mushtaq s,0,Mushtaq's,2,amenity=restaurant | shop=convenience
my cafe,0,My Cafe,2,amenity=cafe
my chicken express,0,My Chicken Express,2,amenity=fast_food
my delhi,0,My Delhi,2,amenity=cafe | amenity=restaurant
my greek kitchen,0,My Greek Kitchen,2,amenity=cafe | amenity=restaurant
my grill,0,My Grill,2,amenity=fast_food | amenity=restaurant
my local,0,my local,2,shop=convenience
my masala,0,My Masala,2,amenity=fast_food | amenity=restaurant
my mini mix,0,My Mini Mix,2,shop=convenience
my old dutch,0,My Old Dutch,2,amenity=restaurant
my shop,0,My Shop,2,shop=convenience
mykonos,0,Mykonos,2,amenity=restaurant
mysa,0,Mysa,2,amenity=cafe | amenity=restaurant
naan,0,naan,2,amenity=restaurant
nabab,0,Nabab,2,amenity=fast_food
nadine s caribbean cafe,0,Nadine's Caribbean Cafe,2,amenity=cafe | amenity=fast_food
nadon thai,0,Nadon Thai,2,amenity=restaurant
nagare coffee,0,Nagare Coffee,2,amenity=cafe
naima,0,Naima,2,amenity=cafe | amenity=fast_food
nalla s convenience store,0,Nalla's Convenience Store,2,shop=convenience
namak mandi,0,Namak Mandi,2,amenity=fast_food | amenity=restaurant
namji,0,Namji,2,amenity=fast_food | amenity=restaurant
nancy s sandwich bar,0,Nancy's Sandwich Bar,2,amenity=fast_food
nandine,0,Nandine,2,amenity=restaurant
napoli on the road,0,Napoli On The Road,2,amenity=restaurant
nar cafe,0,Nar Cafe,2,amenity=cafe
naroon,0,Naroon,2,amenity=cafe | amenity=restaurant
naseeb,0,Naseeb,2,amenity=fast_food | amenity=restaurant
nathan s famous,0,Nathan's Famous,2,amenity=fast_food
nathan s nibbles,0,Nathan's Nibbles,2,amenity=cafe
national trust tea room,0,National Trust Tea Room,2,amenity=cafe
national trust tea rooms,0,National Trust Tea Rooms,2,amenity=cafe
natural natural,0,Natural Natural,2,shop=deli | shop=supermarket
nawaab khan,0,Nawaab Khan,2,amenity=restaurant
nawab,0,Nawab,2,amenity=restaurant
nawabi,0,Nawabi,2,amenity=fast_food
nayaab,0,Nayaab,2,amenity=restaurant
neighbours food bar,0,Neighbours Food Bar,2,amenity=fast_food
nell s cafe,0,Nell's Cafe,2,amenity=cafe
nell s pizza,0,Nell's Pizza,2,amenity=restaurant
nelly s,0,Nelly's,2,amenity=fast_food | shop=deli
nelore,0,Nelore,2,amenity=restaurant
nelson s,0,Nelson's,2,amenity=cafe | amenity=restaurant
nemos fish bar,0,Nemos Fish Bar,2,amenity=fast_food
nepal authentic dining,0,Nepal Authentic Dining,2,amenity=restaurant
nepalese chef,0,Nepalese chef,2,amenity=restaurant
nergiz,0,Nergiz,2,amenity=restaurant
ness café,0,Ness-Café,2,amenity=cafe
nest fisheries,0,Nest Fisheries,2,amenity=fast_food
netherton co op,0,Netherton Co-op,2,shop=supermarket
new akash,0,New Akash,2,amenity=fast_food | amenity=restaurant
new bamboo,0,New Bamboo,2,amenity=fast_food
new capital,0,New Capital,2,amenity=fast_food | amenity=restaurant
new capital kebab,0,New Capital Kebab,2,amenity=fast_food | amenity=restaurant
new china garden,0,New China Garden,2,amenity=fast_food
new china town,0,New China Town,2,amenity=fast_food | amenity=restaurant
new city takeaway,0,New City Takeaway,2,amenity=fast_food | amenity=restaurant
new curry centre,0,New Curry Centre,2,amenity=restaurant
new dragon house,0,New Dragon House,2,amenity=fast_food
new east house,0,New East House,2,amenity=restaurant
new era,0,New Era,2,amenity=fast_food | amenity=restaurant
new evergreen,0,New Evergreen,2,amenity=restaurant
new favourite,0,New Favourite,2,amenity=fast_food
new golden chef,0,New Golden Chef,2,amenity=fast_food
new istanbul supermarket,0,New Istanbul Supermarket,2,shop=convenience | shop=supermarket
new jersey chicken,0,New Jersey Chicken,2,amenity=fast_food
new kitchen,0,New Kitchen,2,amenity=fast_food | amenity=restaurant
new moon,0,New Moon,2,amenity=restaurant
new morly,0,New Morly,2,amenity=fast_food
new ocean,0,New Ocean,2,amenity=fast_food
new peppers tandoori,0,New Peppers Tandoori,2,amenity=fast_food
new phoenix,0,New Phoenix,2,amenity=fast_food
new red cap,0,New Red Cap,2,amenity=fast_food
new shang hai,0,New Shang Hai,2,amenity=fast_food
new shanghai,0,New Shanghai,2,amenity=fast_food | amenity=restaurant
new silver river,0,New Silver River,2,amenity=fast_food
new summer palace,0,New Summer Palace,2,amenity=fast_food | amenity=restaurant
new taj mahal,0,New Taj Mahal,2,amenity=fast_food | amenity=restaurant
new tung shing,0,New Tung Shing,2,amenity=fast_food
new way extra large,0,New Way Extra Large,2,shop=convenience
new way food and wine,0,New Way Food & Wine,2,shop=convenience
new winner,0,New Winner,2,amenity=fast_food
new york deli,0,New York Deli,2,amenity=cafe
new yummy,0,New Yummy,2,amenity=fast_food | amenity=restaurant
newbold fish bar,0,Newbold Fish Bar,2,amenity=fast_food
newroz mini market,0,Newroz Mini Market,2,shop=convenience
news and food,0,News & Food,2,shop=convenience
news and wine,0,News & Wine,2,shop=convenience
news cafe,0,News Cafe,2,amenity=cafe | amenity=restaurant
news extra,0,News Extra,2,shop=convenience
news n booze,0,News 'n' Booze,2,shop=convenience
news shop,0,News Shop,2,shop=convenience
newscentre,0,Newscentre,2,shop=convenience
newsome village store,0,Newsome Village Store,2,shop=convenience
newton fish bar,0,Newton Fish Bar,2,amenity=fast_food
newtown fish bar,0,Newtown Fish Bar,2,amenity=fast_food
next door,0,Next Door,2,amenity=cafe | amenity=restaurant
ngopi,0,Ngopi,2,amenity=cafe
niazi food and wine,0,Niazi food & Wine,2,shop=convenience
nibble,0,Nibble,2,amenity=cafe
nice bites,0,Nice Bites,2,amenity=fast_food
nice ices,0,Nice Ices,2,amenity=cafe
nick s restaurant,0,Nick's Restaurant,2,amenity=restaurant
nicky s news,0,Nicky's News,2,shop=convenience
nico s,0,Nico's,2,amenity=cafe | amenity=fast_food
nightingales,0,Nightingales,2,amenity=cafe
niihaw,0,Niihaw,2,amenity=restaurant
nineteen,0,Nineteen,2,amenity=restaurant
nino s,0,Nino's,2,amenity=restaurant
niro express,0,Niro Express,2,shop=convenience
nisa today s,0,Nisa Today's,2,shop=convenience
nithin express,0,Nithin Express,2,shop=convenience
nk news,0,NK News,2,shop=convenience
no 10,0,No 10,2,amenity=cafe | amenity=restaurant
no 11,0,No. 11,2,amenity=cafe
no 17,0,No. 17,2,amenity=cafe | amenity=fast_food
no 23,0,No. 23,2,amenity=cafe
no 4,0,No. 4,2,amenity=cafe | amenity=restaurant
no 5,0,No. 5,2,amenity=restaurant | shop=deli
no 92 coffee lounge,0,No 92 Coffee Lounge,2,amenity=cafe
no fret,0,No Fret,2,amenity=cafe
no name,0,No Name,2,amenity=fast_food | amenity=restaurant
no name shop,0,No Name Shop,2,shop=deli
noble rot,0,Noble Rot,2,amenity=restaurant
nobu,0,Nobu,2,amenity=restaurant
nola,0,Nola,2,amenity=cafe | amenity=restaurant
nonna s,0,Nonna's,2,amenity=restaurant
nonnas,0,Nonnas,2,amenity=cafe | amenity=restaurant
nonnos pizza,0,Nonnos Pizza,2,amenity=restaurant
noodlee,0,noodlee,2,amenity=restaurant
noodles city,0,Noodles City,2,amenity=restaurant
noodlesta,0,Noodlesta,2,amenity=restaurant
nora s,0,Nora's,2,amenity=cafe | amenity=restaurant
nori,0,Nori,2,amenity=fast_food | amenity=restaurant
north end cafe,0,North End Cafe,2,amenity=cafe | amenity=restaurant
northern edge coffee,0,Northern Edge Coffee,2,amenity=cafe
northgate stores,0,Northgate Stores,2,shop=convenience
norwood fish bar,0,Norwood Fish Bar,2,amenity=fast_food
nosh cafe,0,Nosh Cafe,2,amenity=cafe
nostalgia,0,Nostalgia,2,amenity=cafe
nostimo,0,Nostimo,2,amenity=cafe | amenity=restaurant
notto,0,Notto,2,amenity=restaurant
noura,0,Noura,2,amenity=restaurant
nourished communities,0,Nourished Communities,2,shop=convenience | shop=supermarket
novello,0,Novello,2,amenity=restaurant
novilho de ouro,0,Novilho de Ouro,2,shop=butcher
noya,0,Noya,2,amenity=restaurant
nudo,0,Nudo,2,amenity=fast_food | amenity=restaurant
number 12,0,Number 12,2,amenity=cafe | amenity=restaurant
number 13,0,Number 13,2,amenity=cafe | amenity=restaurant
number 14,0,Number 14,2,amenity=cafe | amenity=restaurant
number 9,0,Number 9,2,amenity=cafe | amenity=fast_food
number four,0,Number Four,2,amenity=restaurant
number one,0,Number One,2,amenity=fast_food
number one cafe,0,Number One Cafe,2,amenity=cafe
nur,0,Nur,2,amenity=restaurant
nuro,0,Nuro,2,amenity=fast_food
nurture cafe,0,Nurture Cafe,2,amenity=cafe
nusara,0,Nusara,2,amenity=restaurant
nutmeg,0,Nutmeg,2,amenity=restaurant
nuttea,0,Nuttea,2,amenity=cafe
nyokee,0,Nyokee,2,amenity=restaurant
o briens,0,O'Briens,2,amenity=fast_food | shop=butcher
o burger,0,O! Burger,2,amenity=fast_food | amenity=restaurant
o cabaz,0,O Cabaz,2,amenity=cafe | shop=convenience
o farol,0,O Farol,2,amenity=cafe | amenity=restaurant
oak tree cafe,0,Oak Tree Cafe,2,amenity=cafe
oasis café,0,Oasis Café,2,amenity=cafe
oasis pizza,0,oasis pizza,2,amenity=fast_food
obelisk food and wine,0,Obelisk Food and Wine,2,shop=convenience
ocean blue fish bar,0,Ocean Blue Fish Bar,2,amenity=fast_food
ocean breeze,0,Ocean Breeze,2,amenity=fast_food
ocean fish restaurant,0,Ocean Fish Restaurant,2,amenity=fast_food
ocean fisheries,0,Ocean Fisheries,2,amenity=fast_food
ocean s fish and chips,0,Ocean's Fish & Chips,2,amenity=fast_food
ocean s restaurant,0,Ocean's Restaurant,2,amenity=restaurant
ocean star,0,Ocean Star,2,amenity=fast_food
ocean supermarket,0,Ocean Supermarket,2,shop=convenience | shop=supermarket
ocean wild fish bar,0,Ocean Wild Fish Bar,2,amenity=fast_food
oceana,0,Oceana,2,amenity=fast_food
oceans fish and chips,0,Oceans Fish & Chips,2,amenity=fast_food
ochi,0,Ochi,2,amenity=fast_food | amenity=restaurant
ockham bites,0,Ockham Bites,2,amenity=cafe
off the hook,0,Off the Hook,2,amenity=fast_food
off the rails,0,Off the Rails,2,amenity=cafe
oggy oggy pasty shop,0,Oggy Oggy Pasty Shop,2,amenity=cafe | amenity=fast_food
ohayo sushi,0,Ohayo Sushi,2,amenity=fast_food | amenity=restaurant
ohba leaf,0,Ohba Leaf,2,amenity=fast_food | amenity=restaurant
ohisama sushi,0,OHISAMA Sushi,2,amenity=fast_food | amenity=restaurant
oita,0,Oita,2,amenity=restaurant
okko,0,OKKO,2,amenity=restaurant
okra,0,Okra,2,amenity=cafe | amenity=restaurant
old china,0,Old China,2,amenity=fast_food
old george coffee house,0,Old George Coffee House,2,amenity=cafe
old school café,0,Old School Café,2,amenity=cafe
old school coffee,0,Old School Coffee,2,amenity=cafe
old school house,0,Old School House,2,amenity=cafe | amenity=restaurant
old town,0,Old Town,2,amenity=fast_food
old town cafe,0,Old Town Cafe,2,amenity=cafe
oldfields fish and chips,0,Oldfields Fish and Chips,2,amenity=fast_food
olea,0,Olea,2,amenity=cafe
olio,0,Olio,2,amenity=restaurant
olive and co,0,Olive & Co.,2,amenity=cafe
olive grove,0,Olive Grove,2,amenity=restaurant
olive grove cafe,0,Olive Grove Cafe,2,amenity=cafe
olive grove pizzeria,0,Olive Grove Pizzeria,2,amenity=fast_food
olive kitchen,0,Olive Kitchen,2,amenity=cafe
olive oil and oregano,0,Olive Oil & Oregano,2,amenity=fast_food | amenity=restaurant
olive pizza,0,Olive Pizza,2,amenity=fast_food
olive s,0,Olive's,2,amenity=cafe
olive s cypriot food,0,Olive's Cypriot Food,2,amenity=fast_food | amenity=restaurant
oliver s cafe,0,Oliver's Cafe,2,amenity=cafe
olives and meze,0,Olives & Meze,2,amenity=restaurant
oliveto,0,Oliveto,2,amenity=restaurant
olivia s,0,Olivia's,2,amenity=cafe
olivia s tearoom,0,Olivia’s Tearoom,2,amenity=cafe
olivo,0,Olivo,2,amenity=restaurant
ollie s cafe,0,Ollie's Cafe,2,amenity=cafe
olympic,0,Olympic,2,amenity=fast_food
omar s,0,Omar's,2,amenity=fast_food | amenity=restaurant
omomo,0,Omomo,2,amenity=restaurant
on the bab,0,On The Bab,2,amenity=fast_food | amenity=restaurant
on the corner,0,On The Corner,2,amenity=cafe
on the rocks,0,On The Rocks,2,amenity=restaurant
onde onde,0,Onde onde,2,amenity=restaurant
one 4 six,0,One 4 Six,2,amenity=cafe
one b coffee house,0,One B Coffee House,2,amenity=cafe
one stop express,0,One Stop Express,2,shop=convenience
one stop shop,0,One Stop Shop,2,shop=convenience
one way cafe,0,One Way Cafe,2,amenity=cafe
one4six,0,One4Six,2,amenity=cafe
only foods and sauces,0,Only Foods and Sauces,2,amenity=cafe | amenity=fast_food
onyx,0,Onyx,2,amenity=restaurant
oowee diner,0,Oowee Diner,2,amenity=fast_food
opposite,0,Opposite,2,amenity=cafe
opus foods,0,Opus Foods,2,shop=supermarket
orangery,0,Orangery,2,amenity=cafe
oregano leaf,0,Oregano Leaf,2,amenity=fast_food | amenity=restaurant
ori caffe,0,Ori Caffe,2,amenity=cafe
orient delight,0,Orient Delight,2,amenity=fast_food | amenity=restaurant
oriental emporium,0,Oriental Emporium,2,shop=convenience | shop=supermarket
oriental gourmet,0,Oriental Gourmet,2,amenity=fast_food | amenity=restaurant
oriental market,0,Oriental Market,2,shop=convenience
oriental sunrise,0,Oriental Sunrise,2,amenity=fast_food
original fried chicken,0,Original Fried Chicken,2,amenity=fast_food
origins,0,Origins,2,amenity=restaurant
orpington citi kitchen,0,Orpington Citi Kitchen,2,amenity=fast_food | amenity=restaurant
osaka,0,Osaka,2,amenity=restaurant
osborne convenience store,0,Osborne Convenience Store,2,shop=convenience
oso coffee and cake,0,OSO Coffee and Cake,2,amenity=cafe
ossie s fish bar,0,Ossie's Fish Bar,2,amenity=fast_food
osteria,0,Osteria,2,amenity=restaurant
other side fried,0,Other Side Fried,2,amenity=restaurant
otter nurseries,0,Otter Nurseries,2,amenity=cafe
our place,0,Our Place,2,amenity=cafe | shop=convenience
our shop,0,Our Shop,2,shop=convenience
ousia,0,Ousia,2,amenity=restaurant
out of the woods,0,Out of the Woods,2,amenity=cafe
out of this world,0,Out Of This World,2,shop=convenience | shop=supermarket
outdoor kitchen,0,Outdoor Kitchen,2,amenity=cafe | amenity=restaurant
oven,0,Oven,2,amenity=restaurant
owens,0,Owens,2,amenity=cafe | amenity=restaurant
owt,0,OWT,2,amenity=fast_food | amenity=restaurant
oxford street chippy,0,Oxford Street Chippy,2,amenity=fast_food
oxxo,0,OXXO,2,shop=convenience
ozmen extra,0,Ozmen Extra,2,shop=supermarket
ozone coffee roasters,0,Ozone Coffee Roasters,2,amenity=cafe
p and j news,0,P&J News,2,shop=convenience
p j s,0,P.J.'s,2,amenity=fast_food
pablo eggs go bao,0,Pablo Eggs Go Bao,2,amenity=fast_food | amenity=restaurant
pablo s fish and chips,0,Pablo's Fish and Chips,2,amenity=fast_food
pachara asian grocery,0,Pachara Asian Grocery,2,shop=convenience
pad thai,0,Pad Thai,2,amenity=restaurant
pad thai story,0,Pad Thai Story,2,amenity=restaurant
paddyfields,0,Paddyfields,2,amenity=restaurant
padella,0,Padella,2,amenity=restaurant
pak supermarket,0,Pak Supermarket,2,shop=convenience | shop=supermarket
palace garden,0,Palace Garden,2,amenity=fast_food | amenity=restaurant
pali kitchen,0,Pali Kitchen,2,amenity=cafe | amenity=restaurant
palm beach,0,Palm Beach,2,amenity=fast_food | amenity=restaurant
palm cafe,0,Palm Cafe,2,amenity=cafe
palm court cafe,0,Palm Court Cafe,2,amenity=cafe
palmers restaurant,0,Palmers Restaurant,2,amenity=restaurant
palmyra,0,Palmyra,2,amenity=restaurant
pamir,0,Pamir,2,amenity=fast_food | shop=convenience
panadera,0,Panadera,2,amenity=cafe | amenity=restaurant
pancake house,0,Pancake House,2,amenity=cafe | amenity=restaurant
panda chef,0,Panda Chef,2,amenity=fast_food
panda fresh,0,Panda Fresh,2,shop=convenience | shop=supermarket
panda inn,0,Panda Inn,2,amenity=fast_food
panda oriental,0,Panda Oriental,2,amenity=fast_food
panda panda,0,Panda Panda,2,amenity=fast_food | amenity=restaurant
pane e vino,0,Pane E Vino,2,amenity=cafe | amenity=restaurant
panicos,0,Panicos,2,amenity=restaurant
papa dum,0,Papa-Dum,2,amenity=fast_food | amenity=restaurant
papa joe s,0,Papa Joe's,2,amenity=fast_food
papa johns,0,Papa Johns,2,amenity=fast_food
papa s pizza and kebab,0,Papa's Pizza & Kebab,2,amenity=fast_food | amenity=restaurant
papa simon s,0,Papa Simon's,2,amenity=fast_food
papadeli,0,Papadeli,2,amenity=cafe
papadom,0,Papadom,2,amenity=fast_food | amenity=restaurant
papas,0,Papas,2,amenity=fast_food
papawcha,0,Papawcha,2,amenity=cafe | amenity=fast_food
papi s munchies,0,Papi's Munchies,2,amenity=fast_food | amenity=restaurant
papillon,0,Papillon,2,amenity=cafe | amenity=restaurant
pappa ciccia,0,Pappa Ciccia,2,amenity=restaurant
pappadoms,0,Pappadoms,2,amenity=fast_food
pappas,0,Pappas,2,amenity=fast_food | amenity=restaurant
paprika lounge,0,Paprika Lounge,2,amenity=fast_food | amenity=restaurant
paprika store,0,Paprika Store,2,shop=convenience | shop=supermarket
parade fisheries,0,Parade Fisheries,2,amenity=fast_food
paradise kitchen,0,Paradise Kitchen,2,amenity=fast_food
paradise pizza,0,Paradise Pizza,2,amenity=fast_food | amenity=restaurant
paragon,0,Paragon,2,amenity=fast_food | amenity=restaurant
paramount,0,Paramount,2,amenity=restaurant
parcmarket,0,ParcMarket,2,shop=convenience | shop=supermarket
park central,0,Park Central,2,amenity=cafe | amenity=fast_food
park eat,0,Park Eat,2,amenity=cafe | amenity=restaurant
park fisheries,0,Park Fisheries,2,amenity=fast_food
park food and wine,0,Park Food & Wine,2,shop=convenience
park lane news,0,Park Lane News,2,shop=convenience
park s kitchen,0,Park's Kitchen,2,amenity=restaurant
park shop,0,Park Shop,2,shop=convenience
park square fisheries,0,Park Square Fisheries,2,amenity=fast_food
parkgate cafe,0,Parkgate Cafe,2,amenity=cafe
parkside,0,Parkside,2,amenity=cafe | amenity=restaurant
parkway fish bar,0,Parkway Fish Bar,2,amenity=fast_food
parmars,0,Parmars,2,amenity=fast_food | amenity=restaurant
parrillan,0,Parrillan,2,amenity=restaurant
parsnips,0,Parsnips,2,amenity=cafe | shop=deli
pascal s brasserie,0,Pascal's Brasserie,2,amenity=restaurant
pasha restaurant,0,Pasha Restaurant,2,amenity=restaurant
pasha superstore,0,Pasha Superstore,2,shop=convenience | shop=supermarket
pasta cosa,0,Pasta Cosa,2,amenity=cafe | amenity=restaurant
pasta remoli,0,Pasta Remoli,2,amenity=fast_food | amenity=restaurant
pastaio,0,Pastaio,2,amenity=fast_food | amenity=restaurant
pastan,0,Pastan,2,amenity=restaurant
pata negra,0,Pata Negra,2,amenity=restaurant
paternoster chop house,0,Paternoster Chop House,2,amenity=restaurant
pathiri,0,Pathiri,2,amenity=restaurant
patri,0,Patri,2,amenity=restaurant
patron cave à manger,0,Patron Cave à Manger,2,amenity=restaurant
patty guy,0,Patty Guy,2,amenity=fast_food
paul s,0,Paul's,2,amenity=cafe | amenity=restaurant
paul s plaice,0,Paul's Plaice,2,amenity=fast_food
paulie s,0,Paulie's,2,amenity=fast_food | amenity=restaurant
paulines cafe,0,Paulines Cafe,2,amenity=cafe
pause,0,Pause,2,amenity=cafe
paw paw,0,Paw Paw,2,amenity=fast_food | amenity=restaurant
pazzia,0,Pazzia,2,amenity=restaurant
peaberries,0,Peaberries,2,amenity=cafe
peach,0,Peach,2,amenity=restaurant
peaches,0,Peaches,2,amenity=cafe | amenity=restaurant
peacock food and wine,0,Peacock Food & Wine,2,shop=convenience | shop=supermarket
peacocks,0,Peacocks,2,shop=convenience | shop=supermarket
pearl house,0,Pearl House,2,amenity=fast_food
pearls,0,Pearls,2,amenity=cafe
pebble beach,0,Pebble Beach,2,amenity=cafe | amenity=restaurant
peckish cafe,0,Peckish Cafe,2,amenity=cafe
pegasus,0,Pegasus,2,amenity=restaurant
peking duck,0,Peking Duck,2,amenity=fast_food
penang city,0,Penang City,2,amenity=restaurant
penguin fish bar,0,Penguin Fish Bar,2,amenity=fast_food
penhill stores,0,Penhill Stores,2,shop=convenience
penny s,0,Penny's,2,amenity=cafe
people s choice,0,People's Choice,2,amenity=cafe | amenity=fast_food
pepe rosso,0,Pepe Rosso,2,amenity=fast_food | amenity=restaurant
pepe s grill,0,Pepe's Grill,2,amenity=restaurant
pepenero,0,Pepenero,2,amenity=restaurant
pepi s,0,Pepi's,2,amenity=fast_food | amenity=restaurant
pepper grill,0,Pepper Grill,2,amenity=fast_food
peppers grill,0,Peppers Grill,2,amenity=cafe | amenity=fast_food
per tutti,0,Per Tutti,2,amenity=restaurant
perch,0,Perch,2,amenity=cafe
peri peri chicken bites,0,Peri Peri Chicken Bites,2,amenity=fast_food
peri peri delight,0,Peri Peri Delight,2,amenity=fast_food
peri peri grill cottage,0,Peri Peri Grill Cottage,2,amenity=fast_food
peri peri grill house,0,Peri Peri Grill House,2,amenity=fast_food
peri peri sizzlers,0,Peri Peri Sizzlers,2,amenity=cafe | amenity=fast_food
perilicious,0,Perilicious,2,amenity=fast_food
perios,0,Perios,2,amenity=fast_food | amenity=restaurant
perry s,0,Perry's,2,amenity=restaurant | shop=butcher
persian cuisine,0,Persian Cuisine,2,amenity=fast_food | amenity=restaurant
persian palace,0,Persian Palace,2,amenity=restaurant
pesantissimo,0,Pesantissimo,2,amenity=restaurant
pete s plaice,0,Pete's Plaice,2,amenity=fast_food
peter pan,0,Peter Pan,2,amenity=fast_food
peter s fish factory,0,Peter's Fish Factory,2,amenity=fast_food
petit delice,0,Petit Delice,2,amenity=cafe
peyton plaice,0,Peyton Plaice,2,amenity=fast_food
phat bites,0,Phat Bites,2,amenity=fast_food
phat spuds,0,Phat Spuds,2,amenity=fast_food
phil s plaice,0,Phil's Plaice,2,amenity=fast_food
philly s burger,0,Philly's Burger,2,amenity=fast_food
pho ta,0,Pho Ta,2,amenity=restaurant
phoenix chinese takeaway,0,Phoenix Chinese Takeaway,2,amenity=fast_food
piazza café,0,Piazza Café,2,amenity=cafe
picante,0,Picante,2,amenity=fast_food
picasso express,0,Picasso Express,2,amenity=restaurant
picasso pizza,0,Picasso Pizza,2,amenity=fast_food
picasso s,0,Picasso's,2,amenity=cafe | amenity=restaurant
piccolino s,0,Piccolino's,2,amenity=restaurant
piccolo s pizza,0,Piccolo's Pizza,2,amenity=fast_food
pick a pizza,0,Pick a Pizza,2,amenity=fast_food
picnic box,0,Picnic Box,2,amenity=fast_food
picturedrome,0,Picturedrome,2,amenity=restaurant
piecaramba,0,Piecaramba,2,amenity=restaurant
pier cafe,0,Pier Cafe,2,amenity=cafe
pier one,0,Pier One,2,amenity=restaurant
pierogi,0,Pierogi,2,amenity=fast_food | amenity=restaurant
pierre victoire,0,Pierre Victoire,2,amenity=restaurant
piggy in the middle,0,Piggy In The Middle,2,amenity=fast_food | shop=deli
pin petch,0,Pin Petch,2,amenity=restaurant
pinar kebab,0,Pinar Kebab,2,amenity=fast_food
pinche pinche,0,Pinche Pinche,2,amenity=fast_food | amenity=restaurant
pino s,0,Pino's,2,amenity=fast_food
pinocchio s cafe,0,Pinocchio's Cafe,2,amenity=cafe
pinos,0,Pinos,2,amenity=fast_food | amenity=restaurant
pioneer,0,Pioneer,2,shop=butcher
pirico,0,Pirico,2,amenity=fast_food | amenity=restaurant
pit and pal,0,Pit and Pal,2,amenity=fast_food
pit stop snack bar,0,Pit Stop Snack Bar,2,amenity=cafe | amenity=fast_food
pittagoras,0,Pittagoras,2,amenity=fast_food
pizza 1889,0,Pizza 1889,2,amenity=fast_food
pizza and chicken,0,Pizza & Chicken,2,amenity=fast_food
pizza barn,0,Pizza Barn,2,amenity=fast_food | amenity=restaurant
pizza boy,0,Pizza Boy,2,amenity=fast_food
pizza bros,0,Pizza Bros,2,amenity=fast_food
pizza by goli,0,Pizza by Goli,2,amenity=restaurant
pizza cafe,0,Pizza Cafe,2,amenity=cafe | amenity=fast_food
pizza castle,0,Pizza Castle,2,amenity=fast_food
pizza chicken hot 4 you,0,Pizza Chicken Hot 4 You,2,amenity=fast_food
pizza chicken time,0,Pizza Chicken Time,2,amenity=fast_food
pizza choice,0,Pizza Choice,2,amenity=fast_food
pizza club,0,Pizza Club,2,amenity=fast_food | amenity=restaurant
pizza company,0,Pizza Company,2,amenity=fast_food
pizza da mario,0,Pizza da Mario,2,amenity=restaurant
pizza delicious,0,Pizza Delicious,2,amenity=fast_food
pizza grill,0,Pizza Grill,2,amenity=fast_food
pizza guys,0,Pizza Guys,2,amenity=fast_food
pizza home,0,Pizza Home,2,amenity=fast_food
pizza hot 4 u,0,Pizza Hot 4 U,2,amenity=fast_food
pizza hut express,0,Pizza Hut Express,2,amenity=fast_food
pizza inc,0,Pizza Inc,2,amenity=fast_food
pizza jim,0,Pizza Jim,2,amenity=fast_food
pizza junction,0,Pizza Junction,2,amenity=fast_food
pizza kitchen,0,Pizza Kitchen,2,amenity=fast_food | amenity=restaurant
pizza la vita,0,Pizza La Vita,2,amenity=fast_food
pizza licious,0,Pizza Licious,2,amenity=fast_food
pizza love,0,Pizza Love,2,amenity=fast_food | amenity=restaurant
pizza man,0,Pizza Man,2,amenity=fast_food | amenity=restaurant
pizza nova,0,Pizza Nova,2,amenity=fast_food
pizza oven,0,Pizza Oven,2,amenity=fast_food
pizza paz,0,Pizza Paz,2,amenity=fast_food
pizza pepper,0,Pizza Pepper,2,amenity=fast_food
pizza perfection,0,Pizza Perfection,2,amenity=fast_food
